land_id,state,district,city_village,project_type,land_area_acres,land_type,owner_type,owners_count,ownership_dispute,dispute_level,notice_issued,consent_status,valuation_amount,compensation_amount,compensation_status,payment_delay_days,approval_status,approval_delay_days,rehabilitation_status,grievance_status,acquisition_percent,total_delay_days,acquisition_status,risk_level,expected_completion_days
LA20260639,Odisha,Panipat,Village_6,Dam,19.53,Industrial,Trust,3,No,None,Yes,Obtained,7459426.0,24043156.0,Paid,9,Approved,147,Completed,None,90.9,164,Near Completion,Low,156
LA20260265,New Delhi,Ambala,Village_25,Expressway,9.81,Commercial,Joint Family,3,No,High,Yes,Disputed,18986052.0,4943679.0,Paid,61,Pending,81,Completed,None,8.53,216,Initial,Medium,446
LA20260260,Telangana,Pune,Village_30,Expressway,40.1,Forest,Trust,1,No,None,Yes,Pending,8233146.0,22060848.0,Pending,151,Approved,132,Pending,None,6.79,333,Initial,High,510
LA20260496,Uttar Pradesh,Patna,Village_13,National Highway,44.16,Agricultural,Government,5,Yes,Medium,Yes,Obtained,16103600.0,12911890.0,Pending,116,Approved,76,In Progress,None,96.34,187,Near Completion,High,150
LA20260073,Bihar,Puri,Village_27,State Highway,5.73,Agricultural,Individual,5,No,None,No,Pending,7130136.0,1401913.0,Pending,133,Approved,145,Pending,Open,11.17,194,Initial,High,426
LA20260441,Karnataka,Sarai Rohilla (Delhi),Village_96,Industrial Corridor,43.95,Agricultural,Joint Family,6,Yes,None,Yes,Disputed,1890969.0,21093110.0,Partial,39,Pending,93,Pending,Open,38.52,165,In Progress,High,324
LA20260251,Uttar Pradesh,Ludhiana,Village_25,Dam,38.18,Commercial,Individual,2,Yes,Low,Yes,Disputed,1459308.0,22265775.0,Pending,71,Approved,44,Pending,Resolved,15.97,214,Initial,Medium,421
LA20260132,Bihar,Vadodara,Village_61,Industrial Corridor,7.93,Agricultural,Company,3,No,None,Yes,Obtained,1243654.0,5014394.0,Paid,140,Pending,52,Not Required,None,84.99,6,Near Completion,Low,96
LA20260328,Karnataka,Bhagalpur,Village_73,National Highway,6.36,Government,Government,4,No,None,Yes,Obtained,19971504.0,24793816.0,Partial,157,Approved,114,Completed,Resolved,47.39,178,In Progress,Medium,302
LA20260279,Madhya Pradesh,Panipat,Village_43,National Highway,43.89,Commercial,Joint Family,4,Yes,Low,Yes,Obtained,10439211.0,7097962.0,Paid,171,Pending,44,Not Required,Resolved,17.85,331,Initial,High,473
LA20260275,New Delhi,Bhagalpur,Village_12,Dam,18.71,Industrial,Government,2,No,None,Yes,Obtained,13020892.0,22010675.0,Partial,84,Pending,39,In Progress,None,25.8,364,In Progress,Low,464
LA20260491,Maharashtra,Ahmednagar,Village_98,Industrial Corridor,21.18,Residential,Individual,7,Yes,None,Yes,Obtained,10960992.0,13433700.0,Paid,94,Pending,90,In Progress,Resolved,28.2,35,In Progress,High,292
LA20260449, Punjab,Darbhanga,Village_93,Airport,3.73,Agricultural,Company,2,No,None,No,Obtained,17992219.0,12289202.0,Paid,133,Approved,122,Pending,Resolved,48.91,2,In Progress,Medium,209
LA20260082,Gujarat,Chennai,Village_71,Metro,3.38,Residential,Joint Family,1,No,None,Yes,Obtained,4059867.0,8149968.0,Partial,0,Pending,80,Not Required,Resolved,31.61,349,In Progress,Low,438
LA20260287,Uttar Pradesh,Udupi,Village_62,State Highway,20.92,Forest,Government,4,No,None,Yes,Obtained,4057842.0,18515768.0,Partial,107,Approved,148,Completed,None,41.16,186,In Progress,Medium,326
LA20260422,Bihar,Gurugram,Village_12,National Highway,42.57,Residential,Joint Family,5,No,None,No,Disputed,14564270.0,8153662.0,Paid,175,Approved,121,Completed,None,81.37,351,Near Completion,Medium,280
